"","Longitude","Latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Elevation"
"LANDB039A",-99.13333333,19.68333333,155,174,69,2030,271,21,250,173,126,176,126,624,125,6,83,343,22,193,22,2256
"LANDB039B",-99.13333333,19.68333333,155,174,69,2030,271,21,250,173,126,176,126,624,125,6,83,343,22,193,22,2256
"LANDB039C",-99.13333333,19.68333333,155,174,69,2030,271,21,250,173,126,176,126,624,125,6,83,343,22,193,22,2256
"LANDB041A",-101.25,21.01666667,156,146,63,2217,270,41,229,167,154,182,124,780,161,10,94,460,38,209,41,2064
"LANDB041B",-101.25,21.01666667,156,146,63,2217,270,41,229,167,154,182,124,780,161,10,94,460,38,209,41,2064
"LANDB041C",-101.25,21.01666667,156,146,63,2217,270,41,229,167,154,182,124,780,161,10,94,460,38,209,41,2064
"LANDB042A",-99.632358,21.445085,221,146,59,3239,340,94,246,244,192,254,175,827,217,11,95,462,37,308,39,562
"LANDB042B",-99.632358,21.445085,221,146,59,3239,340,94,246,244,192,254,175,827,217,11,95,462,37,308,39,562
"LANDB042C",-99.632358,21.445085,221,146,59,3239,340,94,246,244,192,254,175,827,217,11,95,462,37,308,39,562
"LANDB045A",-97.24,19.71,150,117,62,2071,241,55,186,162,132,173,121,1356,288,37,66,612,116,321,188,2220
"LANDB045B",-97.24,19.71,150,117,62,2071,241,55,186,162,132,173,121,1356,288,37,66,612,116,321,188,2220
"LANDB045C",-97.24,19.71,150,117,62,2071,241,55,186,162,132,173,121,1356,288,37,66,612,116,321,188,2220
"LANDB046A",-105.3333333,20.31666667,226,138,69,1891,315,116,199,245,220,247,200,1548,386,3,113,1098,22,896,47,655
"LANDB046B",-105.3333333,20.31666667,226,138,69,1891,315,116,199,245,220,247,200,1548,386,3,113,1098,22,896,47,655
"LANDB046C",-105.3333333,20.31666667,226,138,69,1891,315,116,199,245,220,247,200,1548,386,3,113,1098,22,896,47,655
"LANDB047A",-101.1166667,23.13333333,175,165,63,3118,305,44,261,205,168,209,130,411,64,5,60,180,32,176,50,2043
"LANDB047B",-101.1166667,23.13333333,175,165,63,3118,305,44,261,205,168,209,130,411,64,5,60,180,32,176,50,2043
"LANDB047C",-101.1166667,23.13333333,175,165,63,3118,305,44,261,205,168,209,130,411,64,5,60,180,32,176,50,2043
"LANDB048A",-105.46224,22.417143,248,117,62,2654,329,141,188,275,237,277,212,1162,315,1,120,879,12,696,66,11
"LANDB048B",-105.46224,22.417143,248,117,62,2654,329,141,188,275,237,277,212,1162,315,1,120,879,12,696,66,11
"LANDB048C",-105.46224,22.417143,248,117,62,2654,329,141,188,275,237,277,212,1162,315,1,120,879,12,696,66,11
"LANDB049A",-96.26666667,16.9,170,129,69,1363,263,78,185,177,153,187,151,925,186,13,87,497,42,286,53,2164
"LANDB049B",-96.26666667,16.9,170,129,69,1363,263,78,185,177,153,187,151,925,186,13,87,497,42,286,53,2164
"LANDB049C",-96.26666667,16.9,170,129,69,1363,263,78,185,177,153,187,151,925,186,13,87,497,42,286,53,2164
"LANDB050A",-101.262247,17.560971,265,123,80,625,339,187,152,267,262,272,256,1184,310,3,109,759,10,454,28,52
"LANDB050B",-101.262247,17.560971,265,123,80,625,339,187,152,267,262,272,256,1184,310,3,109,759,10,454,28,52
"LANDB050C",-101.262247,17.560971,265,123,80,625,339,187,152,267,262,272,256,1184,310,3,109,759,10,454,28,52
"LANDB051A",-97.91666667,19.31666667,141,162,71,1789,250,23,227,154,115,160,115,783,145,7,79,398,28,300,34,2492
"LANDB051B",-97.91666667,19.31666667,141,162,71,1789,250,23,227,154,115,160,115,783,145,7,79,398,28,300,34,2492
"LANDB051C",-97.91666667,19.31666667,141,162,71,1789,250,23,227,154,115,160,115,783,145,7,79,398,28,300,34,2492
"LANDB052A",-95.436809,18.589859,258,90,58,1979,337,183,154,268,252,279,230,2351,444,37,72,1136,128,642,296,30
"LANDB052B",-95.436809,18.589859,258,90,58,1979,337,183,154,268,252,279,230,2351,444,37,72,1136,128,642,296,30
"LANDB052C",-95.436809,18.589859,258,90,58,1979,337,183,154,268,252,279,230,2351,444,37,72,1136,128,642,296,30
"LANDB053A",-98.43333333,19.28333333,153,160,69,1870,261,32,229,168,126,173,126,752,146,6,89,418,21,240,21,2261
"LANDB053B",-98.43333333,19.28333333,153,160,69,1870,261,32,229,168,126,173,126,752,146,6,89,418,21,240,21,2261
"LANDB053C",-98.43333333,19.28333333,153,160,69,1870,261,32,229,168,126,173,126,752,146,6,89,418,21,240,21,2261
"LANDB054A",-103.731987,19.33205,252,141,71,1485,346,148,198,262,241,269,231,954,224,3,110,663,12,359,46,720
"LANDB054B",-103.731987,19.33205,252,141,71,1485,346,148,198,262,241,269,231,954,224,3,110,663,12,359,46,720
"LANDB054C",-103.731987,19.33205,252,141,71,1485,346,148,198,262,241,269,231,954,224,3,110,663,12,359,46,720
"LANDB056A",-98.870068,21.062344,218,142,60,3087,330,94,236,242,187,250,174,1615,359,38,75,798,121,570,126,436
"LANDB056B",-98.870068,21.062344,218,142,60,3087,330,94,236,242,187,250,174,1615,359,38,75,798,121,570,126,436
"LANDB056C",-98.870068,21.062344,218,142,60,3087,330,94,236,242,187,250,174,1615,359,38,75,798,121,570,126,436
"LANDB057A",-65.83333333,-17.55,140,158,68,1903,247,16,231,153,113,163,113,508,115,2,95,312,12,169,12,2725
"LANDB057B",-65.83333333,-17.55,140,158,68,1903,247,16,231,153,113,163,113,508,115,2,95,312,12,169,12,2725
"LANDB057C",-65.83333333,-17.55,140,158,68,1903,247,16,231,153,113,163,113,508,115,2,95,312,12,169,12,2725
"LANDB058A",-63.308388,-17.898168,238,106,63,2204,315,147,168,259,221,259,205,1186,179,40,45,482,136,482,177,516
"LANDB058B",-63.308388,-17.898168,238,106,63,2204,315,147,168,259,221,259,205,1186,179,40,45,482,136,482,177,516
"LANDB058C",-63.308388,-17.898168,238,106,63,2204,315,147,168,259,221,259,205,1186,179,40,45,482,136,482,177,516
"LANDB059A",-77.77292,-8.563063,72,151,79,908,155,-35,190,81,59,81,59,726,133,6,67,337,24,337,24,3412
"LANDB059B",-77.77292,-8.563063,72,151,79,908,155,-35,190,81,59,81,59,726,133,6,67,337,24,337,24,3412
"LANDB059C",-77.77292,-8.563063,72,151,79,908,155,-35,190,81,59,81,59,726,133,6,67,337,24,337,24,3412
"LANDB060A",-76.471549,-8.444628,245,123,88,451,310,171,139,249,240,249,237,3085,352,142,31,1040,452,1040,466,580
"LANDB060B",-76.471549,-8.444628,245,123,88,451,310,171,139,249,240,249,237,3085,352,142,31,1040,452,1040,466,580
"LANDB060C",-76.471549,-8.444628,245,123,88,451,310,171,139,249,240,249,237,3085,352,142,31,1040,452,1040,466,580
"LANDB061A",-70.051311,-17.450516,90,166,75,1890,190,-30,220,109,66,110,62,197,62,0,134,160,1,145,2,3206
"LANDB061B",-70.051311,-17.450516,90,166,75,1890,190,-30,220,109,66,110,62,197,62,0,134,160,1,145,2,3206
"LANDB061C",-70.051311,-17.450516,90,166,75,1890,190,-30,220,109,66,110,62,197,62,0,134,160,1,145,2,3206
"LANDB062A",-59.590785,-18.345503,247,130,67,2171,337,145,192,268,217,269,216,1096,164,20,51,449,101,434,131,613
